      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
105   o4_t2_ap_d2   o4_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
106   o4_t2_rp_d1   o4_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
107   o4_t2_mf_d1   o4_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
108   o4_t2_mf_d1   o4_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
109   o4_t2_mf_d1   o4_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     0                   1                     1                     1                     1                     1                     0                     0                     0                     0                   0
110   o4_t2_mf_d2   o4_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
111   o4_t2_mf_d2   o4_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
112   o5_t1_cs_d1   o5_t1_cs_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
113   o5_t1_cs_d1   o5_t2_ap_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
114   o5_t1_cs_d1   o5_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     1                   0
115   o5_t1_cs_d1   o5_t2_mf_d1                     0                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
116   o5_t1_cs_d1   o5_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
117   o5_t1_cs_d1   o5_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
118   o5_t1_cs_d1   o5_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
119   o5_t1_cs_d2   o5_t2_ap_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
120   o5_t1_cs_d2   o5_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
121   o5_t1_cs_d2   o5_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
122   o5_t1_cs_d2   o5_t2_mf_d2                     0                     0                     1                     1                     1                     1                     1                     1                   1                     1                     0                     0                     1                     1                     1                     1                     0                   1
123   o5_t1_cs_d2   o5_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
