      Target    Comparison                          Layer     Distance
253       o1   o6_t1_cs_d2  GoogLeNet_inception_4d/output    49.582455
254       o1   o6_t1_cs_d2  GoogLeNet_inception_4e/output    12.648458
255       o1   o6_t1_cs_d2                 GoogLeNet_prob     0.000065
256       o1   o7_t1_cs_d2  GoogLeNet_inception_5b/output     2.393375
257       o1   o7_t1_cs_d2          GoogLeNet_conv2/norm2   261.786469
258       o1   o7_t1_cs_d2  GoogLeNet_inception_3a/output  1419.214722
259       o1   o7_t1_cs_d2         GoogLeNet_pool4/3x3_s2    30.781452
260       o1   o7_t1_cs_d2  GoogLeNet_inception_5a/output    14.269476
261       o1   o7_t1_cs_d2     GoogLeNet_loss3/classifier     0.979815
262       o1   o7_t1_cs_d2         GoogLeNet_pool3/3x3_s2   579.246826
263       o1   o7_t1_cs_d2  GoogLeNet_inception_4c/output   122.550476
264       o1   o7_t1_cs_d2  GoogLeNet_inception_3b/output   177.045776
265       o1   o7_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.508683
266       o1   o7_t1_cs_d2  GoogLeNet_inception_4a/output   187.191925
267       o1   o7_t1_cs_d2  GoogLeNet_inception_4b/output   143.654663
268       o1   o7_t1_cs_d2          GoogLeNet_pool1/norm1   590.077454
269       o1   o7_t1_cs_d2  GoogLeNet_inception_4d/output    46.726654
270       o1   o7_t1_cs_d2  GoogLeNet_inception_4e/output    13.075537
271       o1   o7_t1_cs_d2                 GoogLeNet_prob     0.000053
272       o1   o8_t1_cs_d2  GoogLeNet_inception_5b/output     2.510056
273       o1   o8_t1_cs_d2          GoogLeNet_conv2/norm2   254.050537
274       o1   o8_t1_cs_d2  GoogLeNet_inception_3a/output  1390.684326
275       o1   o8_t1_cs_d2         GoogLeNet_pool4/3x3_s2    26.157347
276       o1   o8_t1_cs_d2  GoogLeNet_inception_5a/output    13.240338
277       o1   o8_t1_cs_d2     GoogLeNet_loss3/classifier     1.418953
278       o1   o8_t1_cs_d2         GoogLeNet_pool3/3x3_s2   628.104248
279       o1   o8_t1_cs_d2  GoogLeNet_inception_4c/output   108.515327
280       o1   o8_t1_cs_d2  GoogLeNet_inception_3b/output   181.290543
281       o1   o8_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.645987
282       o1   o8_t1_cs_d2  GoogLeNet_inception_4a/output   184.151215
