     Target    Comparison          Layer      Distance  DistanceInverted
243      o3   o3_t1_cs_d2  AlexNet_conv3    195.840271        212.404404
244      o3   o3_t1_cs_d2  AlexNet_conv2    257.432281        282.276733
245      o3   o3_t1_cs_d2  AlexNet_conv1   4663.501465       4605.965820
246      o3   o3_t1_cs_d2  AlexNet_conv5     12.896751         11.627876
247      o3   o3_t1_cs_d2  AlexNet_norm2    329.758636        360.723511
248      o3   o3_t1_cs_d2  AlexNet_pool2    679.584045        724.860657
249      o3   o3_t1_cs_d2  AlexNet_pool1  11598.548828      12595.039062
250      o3   o3_t1_cs_d2  AlexNet_norm1    311.828735        367.199829
251      o3   o3_t1_cs_d2  AlexNet_pool5     47.984188         43.644154
252      o3   o3_t2_ap_d1    AlexNet_fc6      7.484187          7.531606
253      o3   o3_t2_ap_d1    AlexNet_fc7      0.626456          0.788504
254      o3   o3_t2_ap_d1    AlexNet_fc8      1.558590          2.452454
255      o3   o3_t2_ap_d1  AlexNet_conv4     61.530788         67.299385
256      o3   o3_t2_ap_d1   AlexNet_prob      0.000087          0.000285
257      o3   o3_t2_ap_d1  AlexNet_conv3    197.682953        232.822754
258      o3   o3_t2_ap_d1  AlexNet_conv2    254.703018        292.447968
259      o3   o3_t2_ap_d1  AlexNet_conv1   4200.799316       4884.560547
260      o3   o3_t2_ap_d1  AlexNet_conv5     11.761270         11.437893
261      o3   o3_t2_ap_d1  AlexNet_norm2    351.266449        397.555603
262      o3   o3_t2_ap_d1  AlexNet_pool2    718.855225        797.134460
263      o3   o3_t2_ap_d1  AlexNet_pool1  10626.152344      12984.791992
264      o3   o3_t2_ap_d1  AlexNet_norm1    324.808838        393.641296
265      o3   o3_t2_ap_d1  AlexNet_pool5     44.908527         42.809029
266      o3   o3_t2_ap_d2    AlexNet_fc6      4.106446          4.776927
267      o3   o3_t2_ap_d2    AlexNet_fc7      0.379035          0.440370
268      o3   o3_t2_ap_d2    AlexNet_fc8      1.023820          1.477915
269      o3   o3_t2_ap_d2  AlexNet_conv4     45.154156         52.255795
270      o3   o3_t2_ap_d2   AlexNet_prob      0.000098          0.000101
271      o3   o3_t2_ap_d2  AlexNet_conv3    144.453217        181.682022
272      o3   o3_t2_ap_d2  AlexNet_conv2    187.074356        247.518127
273      o3   o3_t2_ap_d2  AlexNet_conv1   3532.428223       4612.157227
274      o3   o3_t2_ap_d2  AlexNet_conv5      8.798868         10.653829
275      o3   o3_t2_ap_d2  AlexNet_norm2    224.956757        293.431702
276      o3   o3_t2_ap_d2  AlexNet_pool2    466.096283        592.851257
277      o3   o3_t2_ap_d2  AlexNet_pool1   8009.891113      11110.799805
278      o3   o3_t2_ap_d2  AlexNet_norm1    220.426392        335.086700
279      o3   o3_t2_ap_d2  AlexNet_pool5     32.008251         36.161285
280      o3   o3_t2_mf_d1    AlexNet_fc6      4.361938          4.377413
281      o3   o3_t2_mf_d1    AlexNet_fc7      0.389229          0.434434
282      o3   o3_t2_mf_d1    AlexNet_fc8      1.241723          1.507659
283      o3   o3_t2_mf_d1  AlexNet_conv4     47.963032         42.141735
284      o3   o3_t2_mf_d1   AlexNet_prob      0.000109          0.000156
285      o3   o3_t2_mf_d1  AlexNet_conv3    156.638062        142.007019
286      o3   o3_t2_mf_d1  AlexNet_conv2    216.140289        184.119797
287      o3   o3_t2_mf_d1  AlexNet_conv1   4531.833496       3274.233887
288      o3   o3_t2_mf_d1  AlexNet_conv5     10.202252          8.321115
289      o3   o3_t2_mf_d1  AlexNet_norm2    247.989166        227.968018
290      o3   o3_t2_mf_d1  AlexNet_pool2    509.244629        464.501892
291      o3   o3_t2_mf_d1  AlexNet_pool1  10225.685547       6575.874512
292      o3   o3_t2_mf_d1  AlexNet_norm1    276.403168        233.183640
293      o3   o3_t2_mf_d1  AlexNet_pool5     34.925961         31.181004
294      o3   o3_t2_mf_d2    AlexNet_fc6      4.777643          5.065612
295      o3   o3_t2_mf_d2    AlexNet_fc7      0.431697          0.469250
296      o3   o3_t2_mf_d2    AlexNet_fc8      1.249765          1.429201
297      o3   o3_t2_mf_d2  AlexNet_conv4     39.073658         54.328426
298      o3   o3_t2_mf_d2   AlexNet_prob      0.000055          0.000149
299      o3   o3_t2_mf_d2  AlexNet_conv3    124.987442        187.706314
300      o3   o3_t2_mf_d2  AlexNet_conv2    179.057327        251.155197
301      o3   o3_t2_mf_d2  AlexNet_conv1   3355.047607       4341.335938
302      o3   o3_t2_mf_d2  AlexNet_conv5      7.167447         10.060768
303      o3   o3_t2_mf_d2  AlexNet_norm2    207.123703        306.235992
304      o3   o3_t2_mf_d2  AlexNet_pool2    431.941376        622.137146
305      o3   o3_t2_mf_d2  AlexNet_pool1   7309.212402      11491.058594
306      o3   o3_t2_mf_d2  AlexNet_norm1    215.938736        335.007355
307      o3   o3_t2_mf_d2  AlexNet_pool5     27.983919         34.210945
308      o3   o3_t2_rp_d1    AlexNet_fc6      2.480318          3.238606
309      o3   o3_t2_rp_d1    AlexNet_fc7      0.253373          0.312730
310      o3   o3_t2_rp_d1    AlexNet_fc8      0.667231          0.920372
311      o3   o3_t2_rp_d1  AlexNet_conv4     30.630980         36.517941
312      o3   o3_t2_rp_d1   AlexNet_prob      0.000146          0.000152
313      o3   o3_t2_rp_d1  AlexNet_conv3    113.633568        129.732056
