     Target    Comparison                         Layer      Distance
304      o3   o3_t2_mf_d2       AlexNet_finetuned_pool2  4.220240e+02
305      o3   o3_t2_mf_d2       AlexNet_finetuned_pool1  6.446768e+03
306      o3   o3_t2_mf_d2       AlexNet_finetuned_norm1  2.235865e+02
307      o3   o3_t2_mf_d2       AlexNet_finetuned_pool5  7.278683e+01
308      o3   o3_t2_rp_d1  AlexNet_finetuned_fc8_blocks  6.210344e+00
309      o3   o3_t2_rp_d1         AlexNet_finetuned_fc6  1.877724e+01
310      o3   o3_t2_rp_d1         AlexNet_finetuned_fc7  2.237117e+00
311      o3   o3_t2_rp_d1       AlexNet_finetuned_conv4  1.111489e+02
312      o3   o3_t2_rp_d1        AlexNet_finetuned_prob  8.201795e-06
313      o3   o3_t2_rp_d1       AlexNet_finetuned_conv3  2.056642e+02
314      o3   o3_t2_rp_d1       AlexNet_finetuned_conv2  2.302068e+02
315      o3   o3_t2_rp_d1       AlexNet_finetuned_conv1  4.406652e+03
316      o3   o3_t2_rp_d1       AlexNet_finetuned_conv5  3.267795e+01
317      o3   o3_t2_rp_d1       AlexNet_finetuned_norm2  2.128241e+02
318      o3   o3_t2_rp_d1       AlexNet_finetuned_pool2  3.964624e+02
319      o3   o3_t2_rp_d1       AlexNet_finetuned_pool1  1.038630e+04
320      o3   o3_t2_rp_d1       AlexNet_finetuned_norm1  3.230397e+02
321      o3   o3_t2_rp_d1       AlexNet_finetuned_pool5  8.935501e+01
322      o3   o3_t2_rp_d2  AlexNet_finetuned_fc8_blocks  7.253588e+00
323      o3   o3_t2_rp_d2         AlexNet_finetuned_fc6  2.214428e+01
324      o3   o3_t2_rp_d2         AlexNet_finetuned_fc7  2.732611e+00
325      o3   o3_t2_rp_d2       AlexNet_finetuned_conv4  1.895429e+02
326      o3   o3_t2_rp_d2        AlexNet_finetuned_prob  5.929571e-03
327      o3   o3_t2_rp_d2       AlexNet_finetuned_conv3  3.349504e+02
328      o3   o3_t2_rp_d2       AlexNet_finetuned_conv2  2.900291e+02
329      o3   o3_t2_rp_d2       AlexNet_finetuned_conv1  4.655457e+03
330      o3   o3_t2_rp_d2       AlexNet_finetuned_conv5  5.477095e+01
331      o3   o3_t2_rp_d2       AlexNet_finetuned_norm2  3.260317e+02
332      o3   o3_t2_rp_d2       AlexNet_finetuned_pool2  6.372134e+02
333      o3   o3_t2_rp_d2       AlexNet_finetuned_pool1  1.186115e+04
334      o3   o3_t2_rp_d2       AlexNet_finetuned_norm1  3.980760e+02
335      o3   o3_t2_rp_d2       AlexNet_finetuned_pool5  1.545809e+02
336      o4   o4_t1_cs_d1  AlexNet_finetuned_fc8_blocks  1.437558e+01
337      o4   o4_t1_cs_d1         AlexNet_finetuned_fc6  6.234547e+01
338      o4   o4_t1_cs_d1         AlexNet_finetuned_fc7  5.451182e+00
339      o4   o4_t1_cs_d1       AlexNet_finetuned_conv4  4.574552e+02
340      o4   o4_t1_cs_d1        AlexNet_finetuned_prob  4.801817e-03
341      o4   o4_t1_cs_d1       AlexNet_finetuned_conv3  7.084163e+02
342      o4   o4_t1_cs_d1       AlexNet_finetuned_conv2  5.508723e+02
343      o4   o4_t1_cs_d1       AlexNet_finetuned_conv1  6.644128e+03
344      o4   o4_t1_cs_d1       AlexNet_finetuned_conv5  1.330834e+02
